rooms,parcing_space,layout,price,balcony,bathroom,living,apartment_condition,author,building_type,housing_stock,developer,total_floors,floor,region,city,sector,street,area
1-комнатная квартира,Oткрытое,Индивидуальная,65000.0,1,1,,Eвроремонт,Агентство,,Вторичный,,22,9.0,Кишинёв мун.,Кишинёв,Ботаника,Dacia .,41
1-комнатная квартира,,,59500.0,,,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,,10,2.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Ceucari 11/1,42
1-комнатная квартира,,,78900.0,,,,,Застройщик,,Новострой,,18,12.0,Кишинёв мун.,Кишинёв,Центр,str. Tudor Vladimirescu 1a,45
1-комнатная квартира,Oткрытое,,55999.0,Нет,1,Квартира без ливинга,Eвроремонт,Застройщик,Kирпичный,Новострой,Dansicons,5,1.0,Кишинёв мун.,Кишинёв,Телецентр,str. Costiujeni 74,30
1-комнатная квартира,,,106900.0,,1,Квартира с ливингом,Eвроремонт,Застройщик,Mонолитный,Новострой,Golban Trade,6,5.0,Кишинёв мун.,Дурлешты,Окраина,str. Nicolae Dimo 36,42
1-комнатная квартира,Oткрытое,,106900.0,Нет,1,Квартира с ливингом,Eвроремонт,Застройщик,Mонолитный,Новострой,Golban Trade,6,5.0,Кишинёв мун.,Дурлешты,Центр,str. Mihail Odatiuc 57,42
2-х комнатная квартира,,,127900.0,2,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,10,1.0,Кишинёв мун.,Кишинёв,Ботаника,str. Dimineții 22,72
1-комнатная квартира,Oткрытое,Индивидуальная,44900.0,Нет,1,,Eвроремонт,Агентство,,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Nicolae Dimo .,21
3-х комнатная квартира,,,86800.0,,,,Незавершенное cтроительство,Застройщик,,Новострой,Boiar House,10,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24/B,87
2-х комнатная квартира,Подземная,,92250.0,2,2,,Белый вариант,Застройщик,Mонолитный,Новострой,,9,4.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 11/1,75
1-комнатная квартира,Oткрытое,,149900.0,,,Квартира с ливингом,Eвроремонт,Застройщик,,Новострой,Inamstro,9,8.0,Кишинёв мун.,Кишинёв,Чокана,str. Ion Dumeniuc 6,64
1-комнатная квартира,Oткрытое,,55000.0,Нет,1,Квартира без ливинга,Косметический pемонт,Агентство,Mонолитный,Вторичный,,9,6.0,Кишинёв мун.,Кишинёв,Чокана,str. Voluntarilor 10,34
2-х комнатная квартира,Oткрытое,,219900.0,,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,Inamstro,14,10.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Каля Ешилор 6,68
2-х комнатная квартира,,,6036860369.0,,1,Квартира с ливингом,,Застройщик,,Новострой,,10,8.0,Кишинёв мун.,Криково,Центр,str. Ştefan cel Mare și Sfînt 10,62
2-х комнатная квартира,,,89990.0,1,2,Квартира с ливингом,Белый вариант,Частное лицо,,Новострой,Lagmar Impex,9,8.0,Кишинёв мун.,Кишинёв,Телецентр,sos. Hincesti 142,69
3-х комнатная квартира,Oткрытое,,176500.0,Нет,2,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,9,4.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 39,85
2-х комнатная квартира,Подземная,,140400.0,,2,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,NG Invest,25,14.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Spartacus 36,72
2-х комнатная квартира,Подземная,,87750.0,1,2,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,NG Invest,9,,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,75
1-комнатная квартира,Подземная,,68250.0,Нет,,,Белый вариант,Застройщик,Kирпичный,Новострой,NG Invest,25,13.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Spartacus 36,35
