rooms,bathroom,apartment_condition,total_floors,floor,area,price_per_sqm,floor_ratio,has_balcony,has_living,building_type_Kомбинированный,building_type_Kотельцовый,building_type_Mонолитный,building_type_Бетон,building_type_Блочный,building_type_Панельный,building_type_Ячеистый Бетон,housing_stock_Новострой,author_Банк,author_Застройщик,author_Частное лицо,parcing_space_Гараж,parcing_space_Под навесом,parcing_space_Подземная,latitude,longitude,distance_to_sector_center,geocode_missing,latitude_for_model,longitude_for_model,distance_to_sector_center_for_model,bathroom_missing,apartment_condition_missing,rooms_missing,floor_ratio_missing,city_Дурлешты,city_Кишинёв,city_Криково,city_Ставчены,sector_Ботаника,sector_Буюканы,sector_Окраина,sector_Рышкановка,sector_Скулянка,sector_Старая Почта,sector_Телецентр,sector_Центр,sector_Чокана
2.0,1.0,4.0,10,8.0,62,973.6774193548387,0.8,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,1,47.0221197,28.8408695,1802.2657073879273,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2.0,2.0,0.0,9,8.0,69,1304.2028985507247,0.8888888888888888,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,46.9980787,28.8078475,883.848218632378,0,46.9980787,28.8078475,883.848218632378,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3.0,2.0,4.0,9,4.0,85,2076.470588235294,0.4444444444444444,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0558209,28.8902283,2205.9476356701675,0,47.0558209,28.8902283,2205.9476356701675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2.0,2.0,0.0,25,14.0,72,1950.0,0.56,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47.0422238,28.8543314,999.571362010771,0,47.0422238,28.8543314,999.571362010771,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2.0,2.0,0.0,9,5.0,75,1170.0,0.5714285714285714,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47.0132668,28.7511952,1098.787581805104,0,47.0132668,28.7511952,1098.787581805104,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0.0,25,13.0,35,1950.0,0.52,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47.0422238,28.8543314,999.571362010771,0,47.0422238,28.8543314,999.571362010771,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2.0,1.0,3.0,5,2.0,65,2152.3076923076924,0.4,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.058896,28.8451686,2976.216452013056,0,47.058896,28.8451686,2976.216452013056,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2.0,1.0,4.0,5,3.0,14,2428.5714285714284,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9860271,28.879948,1980.4264387592816,0,46.9860271,28.879948,1980.4264387592816,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,4.0,5,5.0,42,1952.3809523809523,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0417612,28.8657988,832.3849473099954,0,47.0417612,28.8657988,832.3849473099954,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,0.0,6,6.0,48,1200.0,1.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,,,,1,47.0221197,28.8408695,1802.2657073879273,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,1.0,4.0,5,1.0,16,1493.75,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.933959,28.9558292,9789.200200645186,0,46.933959,28.9558292,9789.200200645186,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,4.0,10,1.0,65,2384.6153846153848,0.1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0386246,28.8900374,302.2455145335058,0,47.0386246,28.8900374,302.2455145335058,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3.0,1.0,4.0,5,2.0,60,1998.3333333333333,0.4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46.9927753,28.8615461,780.7336176760042,0,46.9927753,28.8615461,780.7336176760042,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,4.0,12,7.0,64,1150.0,0.5833333333333334,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0039073,28.778249,2940.2140751828106,0,47.0039073,28.778249,2940.2140751828106,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3.0,1.0,2.0,2,1.0,58,1258.6206896551723,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0034765,28.8283889,865.2459282005365,0,47.0034765,28.8283889,865.2459282005365,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
