bathroom,rooms,apartment_condition,Тип участка,Площадь земли,Состояние дома,Тип помещения,Площадь участка,Этажность,Балкон,Водопровод,Состояние помещения,Газификация,Канализация,total_floors,floor,area,price_per_sqm,floor_ratio,has_balcony,has_living,building_type_Kомбинированный,building_type_Kотельцовый,building_type_Mонолитный,building_type_Бетон,building_type_Блочный,building_type_Панельный,building_type_Ячеистый Бетон,housing_stock_Новострой,author_Банк,author_Застройщик,author_Частное лицо,parcing_space_Гараж,parcing_space_Под навесом,parcing_space_Подземная,latitude,longitude,distance_to_sector_center,geocode_missing,latitude_for_model,longitude_for_model,distance_to_sector_center_for_model,bathroom_missing,apartment_condition_missing,rooms_missing,floor_ratio_missing,city_Дурлешты,city_Кишинёв,city_Криково,city_Ставчены,sector_str. Nicolae Dimo,sector_Аэропорт,sector_Ботаника,sector_Буюканы,sector_Окраина,sector_Рышкановка,sector_Скулянка,sector_Старая Почта,sector_Телецентр,sector_Центр,sector_Чокана
1.0,1.0,4.0,,,,,,,2.0,,,,,10.0,8.0,42.0,1233.3333333333333,0.8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.0132668,28.7511952,1098.787581805104,0,47.0132668,28.7511952,1098.787581805104,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,2.0,0.0,,,,,,,2.0,,,,,9.0,4.0,67.0,1250.7462686567164,0.4444444444444444,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,47.0138525,28.7521502,1002.0900618477696,0,47.0138525,28.7521502,1002.0900618477696,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,4.0,,,,,,,2.0,,,,,12.0,5.0,35.0,1200.0,0.4166666666666667,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0039073,28.778249,2940.2140751828106,0,47.0039073,28.778249,2940.2140751828106,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2.0,4.0,,,,,,,2.0,,,,,10.0,6.0,64.0,1100.0,0.6,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,47.0132668,28.7511952,1098.787581805104,0,47.0132668,28.7511952,1098.787581805104,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0.0,,,,,,,2.0,,,,,6.0,6.0,43.0,1300.0,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,1,47.0225368,28.844226,1678.113886189654,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0,2.0,4.0,,,,,,,2.0,,,,,8.0,5.0,52.0,2307.6923076923076,0.625,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,46.9790091,28.8373875,1608.5936101213567,0,46.9790091,28.8373875,1608.5936101213567,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,4.0,,,,,,,2.0,,,,,12.0,10.0,44.0,2704.5454545454545,0.8333333333333334,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,47.0383586,28.8475275,1665.7233120886167,0,47.0383586,28.8475275,1665.7233120886167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,4.0,,,,,,,2.0,,,,,11.0,2.0,38.0,2710.5263157894738,0.18181818181818182,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0325966,28.8561919,1895.529798325876,0,47.0325966,28.8561919,1895.529798325876,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,4.0,,,,,,,2.0,,,,,10.0,9.0,55.0,1445.4545454545455,0.9,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,47.0020632,28.8694019,1951.8735980540325,0,47.0020632,28.8694019,1951.8735980540325,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,4.0,,,,,,,2.0,,,,,10.0,4.0,50.0,1878.0,0.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,1,47.0225368,28.844226,1678.113886189654,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,2.0,4.0,,,,,,,2.0,,,,,10.0,2.0,65.0,3383.076923076923,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0343561,28.7742796,2236.925925591301,0,47.0343561,28.7742796,2236.925925591301,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,4.0,,,,,,,2.0,,,,,10.0,8.0,42.0,2059.5238095238096,0.8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,47.0576143,28.8493424,3304.7239582045922,0,47.0576143,28.8493424,3304.7239582045922,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,2.0,0.0,,,,,,,2.0,,,,,4.0,3.0,81.0,1900.0,0.75,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0320612,28.7893874,1288.23399390449,0,47.0320612,28.7893874,1288.23399390449,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,0.0,,,,,,,2.0,,,,,11.0,3.0,50.0,1810.8,0.2727272727272727,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,47.1049348,28.8328393,8766.18220834624,0,47.1049348,28.8328393,8766.18220834624,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,3.0,0.0,,,,,,,2.0,,,,,11.0,3.0,63.0,1823.8095238095239,0.2727272727272727,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,47.1049348,28.8328393,8766.18220834624,0,47.1049348,28.8328393,8766.18220834624,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,4.0,,,,,,,2.0,,,,,7.0,6.0,42.0,2307.1428571428573,0.8571428571428571,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47.0065913,28.7617894,1382.8338482590987,0,47.0065913,28.7617894,1382.8338482590987,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,2.0,4.0,,,,,,,2.0,,,,,4.0,1.0,78.0,2755.128205128205,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0163194,28.8422732,1155.801011930471,0,47.0163194,28.8422732,1155.801011930471,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,2.0,4.0,,,,,,,2.0,,,,,9.0,5.0,60.0,2081.6666666666665,0.5555555555555556,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.954918,28.9212222,6288.62844061508,0,46.954918,28.9212222,6288.62844061508,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,0.0,,,,,,,2.0,,,,,9.0,6.0,47.0,1966.595744680851,0.6666666666666666,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.1049348,28.8328393,8766.18220834624,0,47.1049348,28.8328393,8766.18220834624,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,4.0,,,,,,,2.0,,,,,13.0,11.0,46.0,1205.5217391304348,0.8461538461538461,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0037853,28.7715007,3451.3140689420484,0,47.0037853,28.7715007,3451.3140689420484,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,3.0,3.0,,,,,,,2.0,,,,,7.0,4.0,74.0,810.8108108108108,0.5714285714285714,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,46.9988731,28.9356722,1691.3538300586877,0,46.9988731,28.9356722,1691.3538300586877,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,2.0,0.0,,,,,,,2.0,,,,,9.0,9.0,52.0,1408.076923076923,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0152396,28.7514441,970.7299177288405,0,47.0152396,28.7514441,970.7299177288405,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1.0,4.0,,,,,,,2.0,,,,,10.0,3.0,49.0,1453.061224489796,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0671618,28.8429777,2883.416986828092,0,47.0671618,28.8429777,2883.416986828092,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,3.0,4.0,,,,,,,2.0,,,,,15.0,14.0,120.0,2666.6666666666665,0.9333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0155286,28.8489971,1596.100578908128,0,47.0155286,28.8489971,1596.100578908128,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,4.0,,,,,,,2.0,,,,,5.0,1.0,43.0,2023.2558139534883,0.2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,47.0225368,28.844226,1678.113886189654,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,2.0,2.0,,,,,,,2.0,,,,,9.0,3.0,53.0,1528.301886792453,0.3333333333333333,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,47.0013891,28.8042638,982.2771866778796,0,47.0013891,28.8042638,982.2771866778796,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1.0,0.0,,,,,,,2.0,,,,,8.0,3.0,38.0,2085.5263157894738,0.375,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0383287,28.8521354,1444.2062235871963,0,47.0383287,28.8521354,1444.2062235871963,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,4.0,,,,,,,2.0,,,,,10.0,1.0,71.0,2533.8028169014083,0.1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0580803,28.8907679,2458.868608146336,0,47.0580803,28.8907679,2458.868608146336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,2.0,4.0,,,,,,,2.0,,,,,6.0,6.0,84.0,2851.190476190476,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0462071,28.7709874,2554.682550436678,0,47.0462071,28.7709874,2554.682550436678,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
